,FECHA (YYMMDD),HORA (HHMM),Porcentaje,Registros validados,Temperatura (°C)
16438,181218,1600,48.8284,7.0,16.8804
16439,181218,1700,47.6939,7.0,17.4961
16440,181218,1800,48.7081,7.0,16.6236
16441,181218,1900,53.673,7.0,14.7751
16442,181218,2000,61.9871,7.0,12.8976
16443,181218,2100,68.8307,7.0,11.9426
16444,181218,2200,78.2773,7.0,10.7693
16445,181218,2300,79.9453,7.0,10.5159
16446,181219,0,82.5004,6.0,10.06
16447,181219,100,84.792,6.0,9.61588
16448,181219,200,85.0419,6.0,9.42085
16449,181219,300,84.3083,6.0,9.25082
16450,181219,400,83.0483,6.0,9.01665
16451,181219,500,82.4563,6.0,8.87497
16452,181219,600,84.7979,6.0,8.7466
16453,181219,700,80.2227,6.0,9.40991
16454,181219,800,77.5059,6.0,10.0849
16455,181219,900,73.072,6.0,11.2057
16456,181219,1000,67.8254,6.0,12.7648
16457,181219,1100,60.6913,6.0,13.843
16458,181219,1200,51.571,6.0,15.7963
16459,181219,1300,48.5793,6.0,16.8034
16460,181219,1400,45.7623,6.0,17.4224
16461,181219,1500,46.7212,6.0,18.1448
16462,181219,1600,42.6576,6.0,19.1205
16463,181219,1700,43.4697,6.0,19.3195
16464,181219,1800,49.5179,6.0,18.1285
16465,181219,1900,51.3387,6.0,17.5077
16466,181219,2000,56.4794,6.0,15.4943
16467,181219,2100,61.5652,6.0,14.2742
16468,181219,2200,66.2903,6.0,13.3358
16469,181219,2300,69.6808,6.0,12.6758
16470,181220,0,72.1425,5.0,12.0781
16471,181220,100,74.0815,5.0,11.6056
16472,181220,200,77.0873,5.0,10.9781
16473,181220,300,78.4388,5.0,10.6506
16474,181220,400,77.9128,5.0,10.6431
16475,181220,500,76.8026,5.0,10.7005
16476,181220,600,73.1984,5.0,11.923
16477,181220,700,69.4407,5.0,13.3147
16478,181220,800,59.7276,5.0,15.3596
16479,181220,900,51.6479,5.0,16.9698
16480,181220,1000,46.4509,5.0,18.163
16481,181220,1100,44.5415,5.0,18.8187
16482,181220,1200,40.1806,5.0,19.8795
16483,181220,1300,35.5773,5.0,21.012
16484,181220,1400,32.0328,5.0,21.576
16485,181220,1500,31.6676,5.0,21.1518
16486,181220,1600,32.2082,5.0,21.1361
16487,181220,1700,37.7911,5.0,20.3922
